,job_title,frequency,job_category
2953,Call Center Agent,4,call centre agent
50464,Shop Assistant ,4,sales assistant
198181,General assistant ,4,education assistant
88379,Education Assistant,4,education assistant
4324,Unemployed ,4,No description
42672,Bus conductor ,4,bus conductor
3564,Runner,4,Unclassified
126185,Packer,4,picker packer
8621,Sales assistant ,4,sales assistant
50779,Hairstylist ,4,Unclassified
203658,Sales representative,4,sales assistant
6579,cashier,4,cashier
149102,Teacher Assistant ,4,tutor
9008,Financial advisor ,4,advisers/consultants
87094,Casual,4,Unclassified
86838,Casual,4,Unclassified
122632,Facilitator ,4,facilitator
6593,Deli assistant,4,food preparation
220247,Educational Assistant ,4,education assistant
84987,Cleaning,4,cleaner
128999,Technician ,4,Unclassified
195716,Sales Consultant,4,sales assistant
77554,Brand ambassador,4,brand promoter
9600,Team member,4,Unclassified
87222,Brigade,4,covid19 screener
2733,Security guard,4,security
9944,Supervisor,4,manager
6284,Screener,4,covid19 screener
121334,Learnership ,4,learnership
73635,Mobile clerk,4,admin assistant clerk
50927,Salesman,4,sales assistant
2521,Cook,4,food preparation
121855,Supervisor,4,manager
42741,Cashier,4,cashier
89829,Customer Assistant ,4,call centre agent
224035,General Assistant,4,education assistant
9086,Educator assistant,4,education assistant
153663,Educator's assistant ,4,education assistant
9083,Unemployed,4,No description
73502,Cooker,4,food preparation
145695,Education assistant,4,education assistant
42925,Cashier,4,cashier
50901,Waiter ,4,waitron
232683,Waitress,4,waitron
45109,P27,4,Unclassified
77514,Betting clerk ,4,admin assistant clerk
2480,Assistant Teacher ,4,tutor
73620,Inventory clerk,4,admin assistant clerk
161649,General assistant ,4,education assistant
50973,Farming ,4,Unclassified
69141,Assistant teacher ,4,tutor
153692,General assistant,4,education assistant
2710,Store Administrator ,4,admin assistant clerk
129071,Baby sitter,4,childcare
69148,Team leader ,4,Unclassified
84188,Money market clerk ,4,admin assistant clerk
152590,Teacher assistant ,4,tutor
154007,Educators Assistant ,4,education assistant
69156,Teacher assistant,4,tutor
9355,General worker,4,general worker
10669,School assistant ,4,education assistant
73511,Call center agent ,4,call centre agent
123055,Cleaner,4,cleaner
7901,Youth brigade,4,covid19 screener
9875,Educational assistance,4,education assistant
44306,Assistant teacher ,4,tutor
2720,General worker,4,general worker
9330,Educator,4,Unclassified
43552,Cashier ,4,cashier
48037,Shop assistant cashier,4,cashier
6230,General Assistant ,4,education assistant
85530,Teacher,4,tutor
69083,Educational Assistant,4,education assistant
50865,General Worker,4,general worker
49608,Education assistant,4,education assistant
4853,Cashier,4,cashier
228376,Store associate,4,sales assistant
84338,Customer service assistant,4,call centre agent
86191,Store associate,4,sales assistant
2828,Cashier,4,cashier
83211,Store associate,4,sales assistant
159684,Ambassador ,4,brand promoter
5042,Education Assistant ,4,education assistant
8522,None ,4,No description
